timestamp_ns,linear_x,linear_y,angular_z
1778454625582074048,0.05831685662269592,0.0,0.0
1778454625589375087,0.07895700633525848,0.0,0.0
1778454625597894588,0.09134109318256378,0.0,0.0
1778454625614057184,0.1202373057603836,0.0,0.0
1778454625622529649,0.13674941658973694,0.0,0.0
1778454625630203335,0.16151760518550873,0.0,0.0
1778454625638628707,0.19041381776332855,0.0,0.0
1778454625654175377,0.20279790461063385,0.0,0.0
1778454625662575027,0.2358221411705017,0.0,0.0
1778454625669736269,0.248206228017807,0.0,0.0
