timestamp_ns,linear_x,linear_y,angular_z
1778454625582074048,0.05831685662269592,0.0,0.0
1778454625589375087,0.07895700633525848,0.0,0.0
1778454625597894588,0.09134109318256378,0.0,0.0
1778454625614057184,0.1202373057603836,0.0,0.0
1778454625622529649,0.13674941658973694,0.0,0.0
1778454625630203335,0.16151760518550873,0.0,0.0
1778454625638628707,0.19041381776332855,0.0,0.0
1778454625654175377,0.20279790461063385,0.0,0.0
1778454625662575027,0.2358221411705017,0.0,0.0
1778454625669736269,0.248206228017807,0.0,0.0
1778454625677892067,0.26884639263153076,0.0,0.0
1778454625685607180,0.2729744017124176,0.0,0.0
1778454625701666183,0.28123047947883606,0.0,0.0
1778454625710084129,0.28948652744293213,0.0,0.0
1778454625726287928,0.2977425754070282,0.0,0.0
1778454625733970985,0.3142547011375427,0.0,0.0
1778454625741943931,0.326638787984848,0.0,0.0
1778454625749821044,0.3390228748321533,0.0,0.0
1778454625757440768,0.34315091371536255,0.0,0.0
1778454625773615789,0.351406991481781,0.0,0.0
1778454625789808292,0.35553500056266785,0.0,0.0
1778454625805990666,0.3720471262931824,0.0,0.0
1778454625813564297,0.38030317425727844,0.0,0.0
1778454625823197669,0.3885592520236969,0.0,0.0
1778454625838303432,0.4009433388710022,0.0,0.0
1778454625846195433,0.4133274257183075,0.0,0.0
1778454625853665453,0.42158347368240356,0.0,0.0
1778454625862295492,0.4380955994129181,0.0,0.0
1778454625870487512,0.44635167717933655,0.0,0.0
1778454625886327867,0.4669918119907379,0.0,0.0
1778454625893862072,0.4793758988380432,0.0,0.0
1778454625901407555,0.48350393772125244,0.0,0.0
1778454625910773649,0.48763197660446167,0.0,0.0
1778454625925414263,0.4917599856853485,0.0,0.0
1778454625958531918,0.49588802456855774,0.0,0.0
1778454625990536887,0.5,0.0,0.0
1778454626089447462,0.5,0.0,0.0
1778454626139701657,0.5,0.0,0.0
1778454626190680130,0.5,0.0,0.0
1778454626240559418,0.5,0.0,0.0
1778454626291822853,0.5,0.0,0.0
1778454626391725688,0.5,0.0,0.0
1778454626441323383,0.5,0.0,0.0
1778454626492109707,0.5,0.0,0.0
1778454626543504439,0.5,0.0,0.0
1778454626594142449,0.5,0.0,0.0
1778454626645451200,0.5,0.0,0.0
1778454626744785479,0.5,0.0,0.0
1778454626844230294,0.5,0.0,0.0
1778454626894644841,0.5,0.0,0.0
1778454626944935962,0.5,0.0,0.0
1778454626995260472,0.5,0.0,0.0
1778454627045703797,0.5,0.0,0.0
1778454627145247890,0.5,0.0,0.0
1778454627195579992,0.5,0.0,0.0
1778454627295174419,0.5,0.0,0.0
1778454627394808790,0.5,0.0,0.0
1778454627494163198,0.5,0.0,0.0
1778454627545920690,0.5,0.0,0.0
1778454627596291792,0.5,0.0,0.0
1778454627646492617,0.5,0.0,0.0
1778454627696889904,0.5,0.0,0.0
1778454627747495710,0.5,0.0,0.0
1778454627797974998,0.5,0.0,0.0
1778454627847835378,0.5,0.0,0.0
1778454627947268379,0.5,0.0,0.0
1778454627997720777,0.5,0.0,0.0
1778454628055588141,0.49588802456855774,0.0,0.0
1778454628071074903,0.4917599856853485,0.0,0.0
1778454628095200667,0.48763197660446167,0.0,0.0
1778454628102347020,0.48350393772125244,0.0,0.0
1778454628109349392,0.475247859954834,0.0,0.0
1778454628125709524,0.44635167717933655,0.0,0.0
1778454628134500730,0.4174554646015167,0.0,0.0
1778454628141950120,0.38030317425727844,0.0,0.0
1778454628150579418,0.3637910783290863,0.0,0.0
1778454628158292234,0.3472789525985718,0.0,0.0
1778454628173573589,0.3142547011375427,0.0,0.0
1778454628182287628,0.27710244059562683,0.0,0.0
1778454628190823259,0.23169411718845367,0.0,0.0
1778454628205917836,0.16151760518550873,0.0,0.0
1778454628213596708,0.0,0.0,0.0
1778454631278349241,-0.05004473403096199,0.0,0.0
1778454631286518947,-0.058300793170928955,0.0,0.0
1778454631294319911,-0.06655685603618622,0.0,0.0
1778454631318487619,-0.08719699829816818,0.0,0.0
1778454631326435232,-0.09958109259605408,0.0,0.0
1778454631334569456,-0.10783714801073074,0.0,0.0
1778454631350590477,-0.116093210875988,0.0,0.0
1778454631358693238,-0.12022124230861664,0.0,0.0
1778454631366474628,-0.12434927374124527,0.0,0.0
1778454631381646020,-0.13260532915592194,0.0,0.0
1778454631397548505,-0.1408613920211792,0.0,0.0
1778454631429932881,-0.14498941600322723,0.0,0.0
1778454631462328517,-0.14911745488643646,0.0,0.0
1778454631494446579,-0.1532454788684845,0.0,0.0
