timestamp_ns,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1778454618732291337,0.29247216985823055,-0.07130733065809702,9.314664127043738,-0.0013219505545378832,-0.00035247469659417663,-0.00036679185061443175
1778454618753445619,0.31426830882258294,-0.07967588279421356,9.324621614445405,-0.0011174197828198,-0.00014794392487608998,-0.0005713226223325175
1778454618772453012,0.29973622109914855,-0.06652187951870525,9.32075323631122,-0.000640181315477599,-0.0006251823922182945,-0.00016226107889634597
1778454618793039349,0.30210972263760594,-0.07727613703825187,9.314834553406262,-0.002549135184846396,0.0028518407269891577,0.0005195081601639387
1778454618813403983,0.3057054333797522,-0.08564039236569759,9.311323785708252,-0.002276427489222285,0.0013519484010565339,-0.002071214948265144
1778454618834563136,0.3043984407095335,-0.06648574320962553,9.311234634531887,-0.0009128890111017134,0.0010110637815263918,0.0022239312578146513
1778454618854657529,0.28663527144053624,-0.06656669516175945,9.327743825634752,-0.0017991890218800842,0.0014883022488685893,0.0022239312578146513
1778454618875303125,0.30821905576834574,-0.07130582596828233,9.324497998096367,-0.003094550576094625,-0.0020568977942448906,-0.0005031456984264889
1778454618895530185,0.31199138297948037,-0.07372448090951506,9.335354340224017,-0.0029581967282825694,-0.0020568977942448906,-0.0022757457199832297
1778454618916049004,0.31054028421752733,-0.05693375011611301,9.32448213415536,-0.0020718967175041986,-0.0027386670333051748,0.0006558620079759958
1778454618936547582,0.311868950472582,-0.07370061125648975,9.326960655287307,-0.002344604413128313,-0.005602097837358374,0.0021557543339086227
1778454618957149994,0.29147904819791515,-0.06776196231528142,9.330220615206748,-0.002344604413128313,-0.001102420859560492,4.2269692821739376e-05
1778454618977489053,0.3142483481254519,-0.07608397091937397,9.324608375834467,-0.0031627275000006526,0.002579133031365047,-0.0013212687852988303
1778454618997956520,0.31167826942087506,-0.06768340191120081,9.316146710302831,-0.003094550576094625,0.00012476377074802092,0.0011331004753181951
1778454619018661450,0.30341938363193666,-0.07490318459831191,9.323237957853719,0.0009960648582670838,0.0006020022380902185,-0.0013212687852988303
1778454619039037084,0.31057183915837416,-0.06889996979804713,9.322128067162279,-0.002003719793598171,0.001692833020586676,-0.0012530918613928017
1778454619059459144,0.2973400905394481,-0.07370331172033107,9.318344427334148,-0.0004356505437595141,0.000465648390278163,0.00017862354063379613
1778454619080095778,0.3058071477382218,-0.07250414832894109,9.323266222615834,-0.0011855967067258277,0.0013519484010565339,0.00017862354063379613
1778454619100644485,0.30204147409279747,-0.07128279734598825,9.3124142933585,-0.003571789043436826,0.00032929454246610756,0.00017862354063379613
1778454619121539656,0.30325950006977875,-0.07128399312001488,9.313631936457972,0.0016096571734213402,-0.0012387747073725475,0.00011044661672776797
1778454619141677901,0.29862656304634727,-0.05458174366620194,9.33148244298964,-0.0013901274784439144,-0.0014433054790906341,0.0016785158665664232
1778454619162153627,0.2987081187225764,-0.06296969127502527,9.33391152877803,-0.0010492428589137705,0.00026111761856007637,0.0014739850948483377
1778454619182648817,0.3130919171275688,-0.08087881087933113,9.325806579912449,-0.0017310120979740565,0.003601786889955473,0.00017862354063379613
1778454619203388525,0.3021289258834392,-0.07129984709814918,9.318409782599007,-0.0017310120979740565,0.0005338253141841942,0.0036556466598412496
1778454619223819603,0.2987155297395846,-0.07373519704824738,9.330353951066535,-0.0013901274784439144,0.0030563714987072443,0.0009285697036001098
1778454619244285422,0.29883377901977537,-0.07615026466740027,9.337557363895767,-0.002344604413128313,-0.0008297131639363811,-9.408415499031781e-05
1778454619264848185,0.3057196959475801,-0.07248709857678015,9.317270733375327,-9.476592422937198e-05,-0.0017841900986207762,0.0021557543339086227
1778454619285441208,0.30458322564682794,-0.08087385041157685,9.318482176064244,-0.0005038274676655435,-0.00348861319627149,-0.0013212687852988303
1778454619305971397,0.3103868562359704,-0.07962796611651513,9.305380413121668,-0.0011855967067258277,0.00026111761856007637,0.0021557543339086227
1778454619326488605,0.30816829758166553,-0.0653158962264509,9.323276835896703,-0.0019355428696921397,0.0012837714771505027,-0.0007758533940506024
1778454619346992627,0.3154555373100152,-0.07727906070124829,9.32463133395615,-0.0021400736414102263,-0.00014794392487608998,-0.00029861492670840315
1778454619368247558,0.29884537326349114,-0.0845245724744948,9.335190058291749,-0.0033672582717187392,0.0018973637923047626,-0.001184914937486774
1778454619388560191,0.29990618400242663,-0.05937897517421237,9.335115933266563,-0.0032990813478127115,0.00012476377074802092,0.0008603927796940812
1778454619409040844,0.3130394460531837,-0.08086858102803457,9.322209286368143,-0.003026373652188597,-0.00014794392487608998,0.003042054344686993
1778454619429600255,0.29630609204846337,-0.07852202133331354,9.327936316348838,-0.0015264813262559698,-0.00035247469659417663,0.0018830466382845088
1778454619450052222,0.30325113361636347,-0.07606638905226987,9.311251392243014,-0.0005720043915715713,0.0024427791835529913,0.00017862354063379613
1778454619470505949,0.3117632508725141,-0.0641119497389544,9.323328058780502,-0.0056170967606176785,-0.0005570054683122633,0.0012012773992242237
1778454619490920879,0.30446003568863167,-0.07128177894360932,9.313650481709342,-0.0015946582501619976,-0.004034028587519719,0.0029057004968749364
1778454619511388327,0.2998202471143805,-0.07849832905193593,9.321996462862442,0.0012005956299851704,-0.0024659593376810604,-0.001184914937486774
1778454619531852739,0.30452828423344014,-0.07727511863587294,9.316070741757105,-0.0032309044239066838,-0.0009660670117484366,-0.0007076764701445738
1778454619552305391,0.31169081910099794,-0.060509808012818245,9.319717526625261,-0.002276427489222285,-0.0020568977942448906,0.0008603927796940812
1778454619572859080,0.30705692664115936,-0.05935546026448252,9.331629911230483,0.00045064946701885676,0.0003974714663721318,0.0011331004753181951
1778454619593270177,0.3081424407701219,-0.07009488220827376,9.319697193833647,-0.0033672582717187392,-0.0032840824245534035,0.0012694543231302523
1778454619613714625,0.3011215416552959,-0.08090777254425102,9.328019323094944,-0.0032309044239066838,0.0003974714663721318,-0.0009803841657686882
1778454619634203389,0.3033402982947101,-0.07010373891389593,9.319623012828165,-0.0007765351632896562,-0.0021932516420569495,-0.0006394995462385453
1778454619654680634,0.3033977100471007,-0.07729097261400725,9.32084858789814,0.0003142956192067996,-0.0029431978050232614,0.0014058081709423095
1778454619675130953,0.30098504456567887,-0.06892109315972378,9.323178802999415,-0.004117204434685055,0.0021018945640228492,0.0031102312685930217
1778454619695641197,0.2988096350959367,-0.07494955075868825,9.336353853177355,0.002018718716857512,-0.0020568977942448906,-0.0019348611004530868
1778454619716610072,0.2927103813063171,-0.07015776600586776,9.331447084046847,-0.002344604413128313,-0.0006933593161243187,-0.0005713226223325175
1778454619736882039,0.2878757284536513,-0.07374830473503297,9.327788848107996,-0.0020718967175041986,0.0018291868683987314,-0.00023043800280237456
1778454619757373876,0.3008734488511985,-0.06770332949885077,9.315979803040495,-0.0005038274676655435,0.00012476377074802092,4.2269692821739376e-05
1778454619777828862,0.29494567286745255,-0.07490504403142201,9.318311749701719,-9.476592422937198e-05,-0.0006251823922182945,-0.000844030317956631
1778454619798188996,0.3022988887867173,-0.0641569427536563,9.332772479554352,-0.003435435195624767,-0.0019205439464328351,0.0017466927904724518
1778454619818716074,0.29994192216998117,-0.06895399689001902,9.33395213838096,0.0001779417713947424,-0.0006251823922182945,0.00011044661672776797
1778454619839239097,0.2985381558192983,-0.07011259561951816,9.319548831822683,-0.0013901274784439144,0.0015564791727746205,-0.00043496877452046034
1778454619859604582,0.30220554088166296,-0.07251079085815776,9.323210586861723,-0.001458304402349942,0.003601786889955473,0.003246585116405079
1778454619880101716,0.30211067807401304,-0.06172823533277472,9.320772675332712,-0.0002992966959474569,-0.0012387747073725475,0.0022921081817206795
1778454619900771739,0.3022971758990124,-0.07013664264419117,9.33039634820971,-0.0045262659781212244,-0.0008297131639363811,0.0012694543231302523
1778454619921040076,0.31542892304717374,-0.07248984486812887,9.3246136824749,-0.0021400736414102263,0.0014883022488685893,-0.0009803841657686882
1778454619941543654,0.29741423519866916,-0.07132575355593229,9.324331090834033,-0.0013219505545378832,0.0017610099444927071,-0.0013212687852988303
1778454619962352695,0.30216067880939546,-0.05814996325966393,9.325555828114183,0.00010976484748871293,0.000465648390278163,0.0017466927904724518
1778454619982657736,0.30193748738043447,-0.05571443593791797,9.311157828196336,-0.0011174197828198,-7.976700097006573e-05,0.0037920005076533068
1778454620003130518,0.30936122419840106,-0.07966427979724261,9.317352846351314,0.0005188263909248845,-0.001102420859560492,0.0016103389426603948
1778454620023755004,0.3166651968335812,-0.08206265240752997,9.323468432840668,-0.0010492428589137705,-0.0019205439464328351,0.0016785158665664232
1778454620044023656,0.3093363228232645,-0.06889536407358832,9.319711326214705,0.000927887934361056,-1.1590077064034532e-05,0.0005876850840699673
1778454620064747531,0.2888471765291307,-0.0796814610935439,9.309842989989404,-0.0017310120979740565,-0.0014433054790906341,0.0039965312793713926
1778454620085204924,0.30577463736096777,-0.07608583035248412,9.319682167682465,-0.001458304402349942,-0.0015114824029966618,0.0005876850840699673
1778454620105445446,0.30082591845481876,-0.07487010349636897,9.31001079102186,-0.0013219505545378832,-0.0019205439464328351,0.0003831543123518819
1778454620125995598,0.29741993332797234,-0.08807095921968927,9.318397381777896,-0.002003719793598171,0.0006020022380902185,0.00011044661672776797
