timestamp_ns,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
1778454618721427557,-0.6672073925919688,-1.2262867548490457,0.0,4.151350960049458e-49,2.1576813154454906e-50,2.7801006822440376e-05
1778454618729624614,-0.6672073925919688,-1.2262867548490457,0.0,2.267207458132709e-54,1.5662851296421535e-50,6.604597318132571e-11
1778454618739401894,-0.6672073925919688,-1.2262867548490457,0.0,3.8913552815209285e-49,2.0931092610766607e-50,-4.968171874364818e-06
1778454618751613026,-0.6672073925919688,-1.2262867548490457,0.0,2.2380088174870597e-54,1.5319954412890466e-50,-1.217598620788517e-11
1778454618759452732,-0.6672073925919688,-1.2262867548490457,0.0,3.90472678411758e-49,2.0605684723459241e-50,-7.86477273174536e-06
1778454618769569493,-0.6672073925919688,-1.2262867548490457,0.0,2.208894463298949e-54,1.512578998454581e-50,-1.9079551689780852e-11
1778454618779244217,-0.6672073925919688,-1.2262867548490457,0.0,3.840041323040719e-49,2.0323972941992142e-50,-2.2257476216424935e-06
1778454618789381238,-0.6672073925919688,-1.2262867548490457,0.0,2.1796489365783528e-54,1.4994180300151364e-50,-5.303810582439156e-12
1778454618799326332,-0.6672073925919688,-1.2262867548490457,0.0,3.483698712139266e-49,1.9710245115209688e-50,6.5587890903144184e-06
1778454618809179538,-0.6672073925919688,-1.2262867548490457,0.0,2.151527957335773e-54,1.471935207557076e-50,1.6034619526180088e-11
1778454618819216484,-0.6672073925919688,-1.2262867548490457,0.0,3.430422326799739e-49,1.9362963599920652e-50,-2.6086489503797594e-05
1778454618829382023,-0.6672073925919688,-1.2262867548490457,0.0,2.1239313186343126e-54,1.448967425660567e-50,-6.41447087876008e-11
1778454618839373711,-0.6672073925919688,-1.2262867548490457,0.0,3.476708085188541e-49,1.919577048904664e-50,2.8746993728219048e-05
1778454618849192435,-0.6672073925919688,-1.2262867548490457,0.0,2.096586265987815e-54,1.4306889271574427e-50,7.043266809692483e-11
1778454618859248955,-0.6672073925919688,-1.2262867548490457,0.0,3.476768763604717e-49,1.9013077048168864e-50,2.91176706325646e-05
